Destination;Zone
01100;Zone A
01000;Zone A
02000;Zone A
02100;Zone A
03000;Zone A
04000;Zone A
05000;Zone A
06000;Zone B
06100;Zone B
06200;Zone B
06300;Zone B
07200;Zone A
08000;Zone A
09000;Zone A
10000;Zone A
11000;Zone A
11100;Zone A
12000;Zone A
13000;Zone B
13001;Zone B
13002;Zone B
13003;Zone B
13004;Zone B
13005;Zone B
13006;Zone B
13007;Zone B
13008;Zone B
13009;Zone B
13010;Zone B
13011;Zone B
13012;Zone B
13013;Zone B
13014;Zone B
13015;Zone B
13016;Zone B
13090;Zone B
13100;Zone B
14000;Zone A
15000;Zone A
16000;Zone A
17000;Zone A
18000;Zone A
19100;Zone A
21000;Zone A
22000;Zone A
23000;Zone A
24000;Zone A
25000;Zone A
26000;Zone A
27000;Zone A
28000;Zone A
29200;Zone B
29000;Zone A
30000;Zone A
30900;Zone A
31000;Zone B
31001;Zone B
31002;Zone B
31003;Zone B
31004;Zone B
31005;Zone B
31006;Zone B
31007;Zone B
31008;Zone B
31009;Zone B
31010;Zone B
31011;Zone B
31012;Zone B
31013;Zone B
31014;Zone B
31015;Zone B
31016;Zone B
31017;Zone B
31018;Zone B
31019;Zone B
31020;Zone B
31021;Zone B
31022;Zone B
31023;Zone B
31024;Zone B
31025;Zone B
31026;Zone B
31027;Zone B
31028;Zone B
31029;Zone B
31030;Zone B
31031;Zone B
31032;Zone B
31033;Zone B
31034;Zone B
31035;Zone B
31036;Zone B
31037;Zone B
31038;Zone B
31039;Zone B
31040;Zone B
31041;Zone B
31042;Zone B
31043;Zone B
31044;Zone B
31045;Zone B
31046;Zone B
31047;Zone B
31048;Zone B
31049;Zone B
31050;Zone B
31051;Zone B
31052;Zone B
31053;Zone B
31054;Zone B
31055;Zone B
31056;Zone B
31057;Zone B
31058;Zone B
31059;Zone B
31060;Zone B
31061;Zone B
31062;Zone B
31063;Zone B
31064;Zone B
31065;Zone B
31066;Zone B
31067;Zone B
31068;Zone B
31069;Zone B
31070;Zone B
31071;Zone B
31072;Zone B
31073;Zone B
31074;Zone B
31075;Zone B
31076;Zone B
31077;Zone B
31078;Zone B
31079;Zone B
31080;Zone B
31081;Zone B
31082;Zone B
31083;Zone B
31084;Zone B
31085;Zone B
31086;Zone B
31087;Zone B
31088;Zone B
31089;Zone B
31090;Zone B
31091;Zone B
31092;Zone B
31093;Zone B
31094;Zone B
31095;Zone B
31096;Zone B
31097;Zone B
31098;Zone B
31099;Zone B
31100;Zone B
31101;Zone B
31102;Zone B
31103;Zone B
31104;Zone B
31105;Zone B
31106;Zone B
31107;Zone B
31108;Zone B
31109;Zone B
31110;Zone B
31111;Zone B
31112;Zone B
31113;Zone B
31114;Zone B
31115;Zone B
31116;Zone B
31117;Zone B
31118;Zone B
31119;Zone B
31120;Zone B
31121;Zone B
31122;Zone B
31123;Zone B
31124;Zone B
31125;Zone B
31126;Zone B
31127;Zone B
31128;Zone B
31129;Zone B
31130;Zone B
31131;Zone B
31132;Zone B
31133;Zone B
31134;Zone B
31135;Zone B
31136;Zone B
31137;Zone B
31138;Zone B
31139;Zone B
31140;Zone B
31141;Zone B
31142;Zone B
31143;Zone B
31144;Zone B
31145;Zone B
31146;Zone B
31147;Zone B
31148;Zone B
31149;Zone B
31150;Zone B
31151;Zone B
31152;Zone B
31153;Zone B
31154;Zone B
31155;Zone B
31156;Zone B
31157;Zone B
31158;Zone B
31159;Zone B
31160;Zone B
31161;Zone B
31162;Zone B
31163;Zone B
31164;Zone B
31165;Zone B
31166;Zone B
31167;Zone B
31168;Zone B
31169;Zone B
31170;Zone B
31171;Zone B
31172;Zone B
31173;Zone B
31174;Zone B
31175;Zone B
31176;Zone B
31177;Zone B
31178;Zone B
31179;Zone B
31180;Zone B
31181;Zone B
31182;Zone B
31183;Zone B
31184;Zone B
31185;Zone B
31186;Zone B
31187;Zone B
31188;Zone B
31189;Zone B
31190;Zone B
31191;Zone B
31192;Zone B
31193;Zone B
31194;Zone B
31195;Zone B
31196;Zone B
31197;Zone B
31198;Zone B
31199;Zone B
31200;Zone B
31201;Zone B
31202;Zone B
31203;Zone B
31204;Zone B
31205;Zone B
31206;Zone B
31207;Zone B
31208;Zone B
31209;Zone B
31210;Zone B
31211;Zone B
31212;Zone B
31213;Zone B
31214;Zone B
