Département;Tarif 1;Tarif 2;Tarif 3;Tarif 4;Tarif 5;Tarif 6;Tarif 7;Tarif 8;Tarif 9;Tarif 10;Tarif 11;Tarif 12;Tarif 13;Tarif 14
FR1;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
FR2;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
FR3;26.46;28.39;30;31.39;32.45;33.36;34.21;35.11;36;0.45;0.3;0.29;0.23;0.21
FR4;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
FR4;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
FR5;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
FR5;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
FR6;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
FR6;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
FR7;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
FR8;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
FR9;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
FR9;52.53;56.36;59.52;62.34;64.44;66.19;67.94;69.71;71.45;0.82;0.56;0.58;0.45;0.39
FR10;33.03;35.44;37.42;39.2;40.51;41.59;42.69;43.82;44.91;0.5;0.35;0.36;0.28;0.25
FR11;43.79;46.98;49.59;51.95;53.7;55.17;56.61;58.07;59.52;0.69;0.47;0.47;0.37;0.33
FR12;39.59;42.52;44.89;46.98;48.59;49.87;51.21;52.53;53.85;0.64;0.45;0.42;0.35;0.3
