Min;Max;Modulation
0.981;1.019;0%
1.0191;1.057;1%
1.0571;1.095;2%
1.0951;1.133;3%
1.1331;1.1711;4%
1.1712;1.2091;5%
1.2092;1.2471;6%
1.2472;1.2851;7%
1.2852;1.3231;8%
1.3232;1.3612;9%
1.3613;1.3992;10%
1.3993;1.4372;11%
1.4373;1.4752;12%
1.4753;1.5133;13%
1.5134;1.5513;14%
1.5514;1.5893;15%
1.5894;1.6273;16%
1.6274;1.6653;17%
1.6654;1.7034;18%
1.7035;1.7414;19%
1.7415;1.7794;20%
1.7795;1.8174;21%
1.8175;1.8555;22%
1.8556;1.8935;23%
1.8936;1.9315;24%
1.9316;1.9695;25%
1.9696;2.0076;26%
2.0077;2.0456;27%
2.0457;2.0836;28%
2.0837;2.1216;29%
2.1217;2.1596;30%
2.1597;2.1977;31%
2.1978;2.2357;32%
2.2358;2.2737;33%
2.2738;2.3117;34%
2.3118;2.3497;35%
2.3498;2.3877;36%
2.3878;2.4257;37%
2.4258;2.4637;38%
2.4638;2.5018;39%
2.5019;2.5399;40%
