Département;Tarif 1;Tarif 2;Tarif 3;Tarif 4;Tarif 5;Tarif 6;Tarif 7;Tarif 8;Tarif 9
FR01;32.10;45.25;0.66;0.63;0.61;126.58;117.38;111.58;103.99
FR02;32.84;47.38;0.69;0.67;0.64;134.75;125.56;119.71;112.17
FR03;32.70;46.96;0.68;0.67;0.63;133.13;123.92;118.11;110.51
FR04;34.47;55.42;0.84;0.81;0.78;167.33;160.18;154.72;147.66
FR05;34.47;55.42;0.84;0.81;0.78;167.33;160.18;154.72;147.66
FR06;35.71;59.05;0.89;0.88;0.85;181.22;174.08;168.60;161.54
FR07;34.85;53.15;0.78;0.77;0.73;156.80;147.60;141.79;134.19
FR08;33.00;47.81;0.69;0.68;0.64;136.39;127.19;121.38;113.79
FR09;31.73;49.89;0.75;0.72;0.69;148.48;141.69;136.51;129.84
FR10;33.00;47.81;0.69;0.68;0.64;136.39;127.19;121.38;113.79
FR11;34.49;52.10;0.77;0.75;0.72;152.70;143.51;137.70;130.11
FR12;34.73;54.16;0.81;0.83;0.80;161.83;152.90;147.24;139.90
FR13;34.47;55.42;0.84;0.81;0.78;167.33;160.18;154.72;147.66
FR14;28.75;38.97;0.57;0.55;0.53;104.62;97.48;92.00;84.95
FR15;32.70;46.96;0.68;0.67;0.63;133.13;123.92;118.11;110.51
FR16;29.60;38.05;0.54;0.53;0.50;99.14;89.95;84.13;76.55
FR17;29.60;38.05;0.54;0.53;0.50;99.14;89.95;84.13;76.55
FR18;27.11;39.43;0.59;0.57;0.54;112.22;104.56;99.81;93.70
FR19;32.00;44.90;0.64;0.63;0.61;125.28;116.08;110.26;102.68
FR20;;;;;;342.08;331.09;314.09;307.04
FR21;34.18;51.23;0.76;0.73;0.71;149.46;140.24;134.44;126.85
FR22;24.35;34.14;0.50;0.49;0.46;93.53;87.53;83.04;77.36
FR23;30.91;41.82;0.60;0.59;0.57;113.52;104.32;98.50;90.94
FR24;30.58;46.56;0.68;0.67;0.64;135.74;128.94;123.77;117.11
FR25;34.18;51.23;0.76;0.73;0.71;149.46;140.24;134.44;126.85
FR26;34.85;53.15;0.78;0.77;0.73;156.80;147.60;141.79;134.19
FR27;30.65;41.04;0.59;0.58;0.55;110.57;101.39;95.57;87.96
FR28;24.89;33.01;0.47;0.46;0.42;87.71;80.07;75.32;69.19
FR29;26.11;39.27;0.59;0.57;0.55;113.12;107.11;102.65;96.96
FR30;33.88;50.39;0.75;0.72;0.69;146.18;137.00;131.15;123.59
FR31;32.40;46.09;0.67;0.64;0.62;129.84;120.65;114.84;107.27
FR32;32.04;45.07;0.66;0.63;0.61;125.92;116.74;110.93;103.33
FR33;30.91;41.82;0.60;0.59;0.57;113.52;104.32;98.50;90.94
FR34;35.09;53.82;0.80;0.78;0.75;159.24;150.04;144.24;136.66
FR35;23.75;32.41;0.47;0.46;0.42;87.00;80.98;76.50;70.81
FR36;25.01;41.05;0.60;0.59;0.57;114.89;106.54;101.30;94.54
